stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
shp_464-0-0,,stop shp_464-0-0,,15.634492,32.555908,,,,,,,
shp_464-0-1,,stop shp_464-0-1,,15.613185,32.645277,,,,,,,
shp_465-0-0,,stop shp_465-0-0,,15.526103,32.542815,,,,,,,
shp_465-0-1,,stop shp_465-0-1,,15.613378,32.640758,,,,,,,
shp_466-0-1,,stop shp_466-0-1,,15.613627,32.724529,,,,,,,
shp_467-0-0,,stop shp_467-0-0,,15.612908,32.635128,,,,,,,
shp_467-0-1,,stop shp_467-0-1,,15.689496,32.719544,,,,,,,
shp_47-0-0,,stop shp_47-0-0,,15.564824,32.513212,,,,,,,
shp_47-0-1,,stop shp_47-0-1,,15.593080,32.521912,,,,,,,
shp_49-0-0,,stop shp_49-0-0,,15.593172,32.521621,,,,,,,
shp_49-0-1,,stop shp_49-0-1,,15.541818,32.530776,,,,,,,
shp_492-0-1,,stop shp_492-0-1,,15.646095,32.419582,,,,,,,
shp_494-0-0,,stop shp_494-0-0,,15.581347,32.453996,,,,,,,
shp_494-0-1,,stop shp_494-0-1,,15.597757,32.516971,,,,,,,
shp_495-0-0,,stop shp_495-0-0,,15.581349,32.453997,,,,,,,
shp_495-0-1,,stop shp_495-0-1,,15.654832,32.464982,,,,,,,
shp_496-0-1,,stop shp_496-0-1,,15.654342,32.464777,,,,,,,
shp_497-0-0,,stop shp_497-0-0,,15.646075,32.421037,,,,,,,
shp_497-0-1,,stop shp_497-0-1,,15.585290,32.454463,,,,,,,
shp_498-0-0,,stop shp_498-0-0,,15.650653,32.391246,,,,,,,
shp_498-0-1,,stop shp_498-0-1,,15.647163,32.418791,,,,,,,
shp_5-0-1,,stop shp_5-0-1,,15.593080,32.521912,,,,,,,
shp_502-0-0,,stop shp_502-0-0,,15.515782,32.417746,,,,,,,
shp_502-0-1,,stop shp_502-0-1,,15.584422,32.453569,,,,,,,
shp_503-0-0,,stop shp_503-0-0,,15.646027,32.421038,,,,,,,
shp_503-0-1,,stop shp_503-0-1,,15.581969,32.461171,,,,,,,
shp_506-0-0,,stop shp_506-0-0,,15.527695,32.405697,,,,,,,
shp_506-0-1,,stop shp_506-0-1,,15.597708,32.516713,,,,,,,
shp_507-0-0,,stop shp_507-0-0,,15.527715,32.405729,,,,,,,
shp_507-0-1,,stop shp_507-0-1,,15.584681,32.453813,,,,,,,
shp_509-0-0,,stop shp_509-0-0,,15.672914,32.356602,,,,,,,
shp_462-0-0,,stop shp_462-0-0,,15.484153,32.540533,,,,,,,
shp_509-0-1,,stop shp_509-0-1,,15.651643,32.419659,,,,,,,
